"File","LOC"
".\scripts\research\feature_region_oos_study.py","147"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\core\decision_engine.py","147"
".\H-SECONDLOW-002_Complete_Package\scripts\research\secondlow_r4_spacing_count_diagnostic.py","147"
".\src\agent\modes\governance_mode.py","146"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\agent\modes\governance_mode.py","146"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\agent\modes\governance_mode.py","146"
".\src\core\gate_intelligence.py","144"
".\scripts\analysis\feature_dag_rolling_certification.py","144"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\core\gate_intelligence.py","144"
".\src\research\adapters\spine_signal_source.py","143"
".\src\features\causal_structure.py","143"
".\scripts\research\qualify_transitions.py","143"
".\scripts\analysis\early_invalidation_ab.py","142"
".\.claude\worktrees\wizardly-neumann-923c0e\dataset_validator.py","142"
".\scripts\research\bnbusdt_conditional_edge.py","141"
".\src\live\telegram_bridge.py","141"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\live\telegram_bridge.py","141"
".\scripts\analysis\purge_slice.py","141"
".\src\governance\hypothesis_registry.py","139"
".\mt5_analytics\core\verify.py","138"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\core\verify.py","138"
".\scripts\analysis\bnb_ema_gate_ab.py","137"
".\mt5_analytics\engines\deal_characterizer.py","136"
".\scripts\analysis\feature_math_drift_probe.py","136"
".\archive\inout_legacy\ARCHIVED_2026_05_02\executor.py","136"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\engines\deal_characterizer.py","136"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\inout\executor.py","136"
".\src\config_layer\crt_gaussian_scorer.py","135"
".\src\strategies\s05_grid.py","135"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\strategies\s05_grid.py","135"
".\H-SECONDLOW-002_Complete_Package\scripts\research\run_h_secondlow_003_v01_descriptive.py","135"
".\scripts\analysis\legacy_feature_fingerprint.py","133"
".\src\uat\kill_switch.py","132"
